ts,direction,id,text,mid_hex,apid_hex,cc_dec,seq,len,src_ip,src_port,head_hex16,text_hex,bits
2025-12-11 18:10:50,recv,1,normal,0x08A9,0x00A9,53,35,142,127.0.0.1,47453,08 A9 C0 23 00 87 35 62 0F 00 34 80 08 00 31 3A,6E6F726D616C,b:011011100110111101110010011011010110000101101100
2025-12-11 18:10:52,recv,2,normal 2,0x08A9,0x00A9,56,36,142,127.0.0.1,47453,08 A9 C0 24 00 87 38 62 0F 00 B6 00 0A 00 32 3A,6E6F726D616C2032,b:0110111001101111011100100110110101100001011011000010000000110010
2025-12-11 18:10:54,recv,3,normal 3,0x08A9,0x00A9,58,37,142,127.0.0.1,47453,08 A9 C0 25 00 87 3A 62 0F 00 E1 01 0A 00 33 3A,6E6F726D616C2033,b:0110111001101111011100100110110101100001011011000010000000110011
2025-12-11 18:11:23,recv,5,drop attack(33%) 2,0x08A9,0x00A9,86,38,142,127.0.0.1,47453,08 A9 C0 26 00 87 56 62 0F 00 D1 80 14 00 35 3A,64726F702061747461636B28333325292032,b:011001000111001001101111011100000010000001100001011101000111010001100001011000110110101100101000001100110011001100100101001010010010000000110010
2025-12-11 18:11:50,recv,,]dհing attack,0x08A9,0x00A9,113,39,142,127.0.0.1,47453,08 A9 C0 27 00 87 71 62 0F 00 68 80 10 00 5D 1C,5D1C64D5B0696E672061747461636B,b:010111010001110001100100110101011011000001101001011011100110011100100000011000010111010001110100011000010110001101101011
2025-12-11 18:11:51,recv,,}QJging attack 2,0x08A9,0x00A9,115,40,142,127.0.0.1,47453,08 A9 C0 28 00 87 73 62 0F 00 03 02 12 00 7D E9,7D514A67696E672061747461636B2032,b:01111101010100010100101001100111011010010110111001100111001000000110000101110100011101000110000101100011011010110010000000110010
2025-12-11 18:11:53,recv,,(,0x08A9,0x00A9,117,41,142,127.0.0.1,47453,08 A9 C0 29 00 87 75 62 0F 00 66 01 01 00 28 00,28,b:00101000
2025-12-11 18:12:10,recv,10,replay attack,0x08A9,0x00A9,133,42,142,127.0.0.1,47453,08 A9 C0 2A 00 87 85 62 0F 00 05 80 10 00 31 30,7265706C61792061747461636B,b:01110010011001010111000001101100011000010111100100100000011000010111010001110100011000010110001101101011
2025-12-11 18:12:11,recv,10,replay attack,0x08A9,0x00A9,134,43,142,127.0.0.1,47453,08 A9 C0 2B 00 87 86 62 0F 00 5E 82 10 00 31 30,7265706C61792061747461636B,b:01110010011001010111000001101100011000010111100100100000011000010111010001110100011000010110001101101011
2025-12-11 18:12:11,recv,11,replay attack 2,0x08A9,0x00A9,135,44,142,127.0.0.1,47453,08 A9 C0 2C 00 87 87 62 0F 00 A0 01 12 00 31 31,7265706C61792061747461636B2032,b:011100100110010101110000011011000110000101111001001000000110000101110100011101000110000101100011011010110010000000110010
2025-12-11 18:12:12,recv,11,replay attack 2,0x08A9,0x00A9,136,45,142,127.0.0.1,47453,08 A9 C0 2D 00 87 88 62 0F 00 61 00 12 00 31 31,7265706C61792061747461636B2032,b:011100100110010101110000011011000110000101111001001000000110000101110100011101000110000101100011011010110010000000110010
2025-12-11 18:12:13,recv,12,replay attack 3,0x08A9,0x00A9,137,46,142,127.0.0.1,47453,08 A9 C0 2E 00 87 89 62 0F 00 58 01 12 00 31 32,7265706C61792061747461636B2033,b:011100100110010101110000011011000110000101111001001000000110000101110100011101000110000101100011011010110010000000110011
2025-12-11 18:12:14,recv,12,replay attack 3,0x08A9,0x00A9,138,47,142,127.0.0.1,47453,08 A9 C0 2F 00 87 8A 62 0F 00 3A 00 12 00 31 32,7265706C61792061747461636B2033,b:011100100110010101110000011011000110000101111001001000000110000101110100011101000110000101100011011010110010000000110011
