ts,direction,id,text,mid_hex,apid_hex,cc_dec,len,src_ip,src_port,head_hex16,text_hex,bits
2025-10-30 23:47:18,sent,,,0x1880,0x0080,0,8,127.0.0.1,44764,18 80 C0 00 00 01 00 A6,,
2025-10-30 23:47:18,sent,,,0x1880,0x0080,6,8,127.0.0.1,46338,18 80 C0 00 00 01 06 A0,,
2025-10-30 23:47:18,sent,,,0x1880,0x0080,2,16,127.0.0.1,35351,18 80 C0 00 00 09 02 09 A9 08 00 00 00 00 04 00,,
2025-10-30 23:47:46,sent,1,hello satallite!,0x1882,0x0082,3,136,127.0.0.1,34999,18 82 C0 00 00 81 03 30 31 3A 68 65 6C 6C 6F 20,68656C6C6F20736174616C6C69746521,b:01101000011001010110110001101100011011110010000001110011011000010111010001100001011011000110110001101001011101000110010100100001
2025-10-30 23:48:13,sent,,,0x1880,0x0080,0,8,127.0.0.1,38960,18 80 C0 00 00 01 00 A6,,
2025-10-30 23:48:13,sent,,,0x1880,0x0080,6,8,127.0.0.1,57515,18 80 C0 00 00 01 06 A0,,
2025-10-30 23:48:13,sent,,,0x1880,0x0080,2,16,127.0.0.1,53738,18 80 C0 00 00 09 02 09 A9 08 00 00 00 00 04 00,,
2025-10-30 23:48:28,sent,2,hello again,0x1882,0x0082,3,136,127.0.0.1,48352,18 82 C0 00 00 81 03 0D 32 3A 68 65 6C 6C 6F 20,68656C6C6F20616761696E,b:0110100001100101011011000110110001101111001000000110000101100111011000010110100101101110
2025-10-31 00:03:46,sent,,,0x1880,0x0080,0,8,127.0.0.1,58589,18 80 C0 00 00 01 00 A6,,
2025-10-31 00:03:46,sent,,,0x1880,0x0080,6,8,127.0.0.1,48165,18 80 C0 00 00 01 06 A0,,
2025-10-31 00:03:46,sent,,,0x1880,0x0080,2,16,127.0.0.1,40922,18 80 C0 00 00 09 02 09 A9 08 00 00 00 00 04 00,,
2025-10-31 00:03:57,sent,3,lkjhgfdsa,0x1882,0x0082,3,136,127.0.0.1,35984,18 82 C0 00 00 81 03 5C 33 3A 6C 6B 6A 68 67 66,6C6B6A686766647361,b:011011000110101101101010011010000110011101100110011001000111001101100001
